datetime,type,entry,exit,pnl
2024-01-03 11:00:00,SHORT,21.37,20.942600000000002,199.99999999999937
2024-01-03 13:00:00,SHORT,20.14,19.7372,203.99999999999955
2024-01-03 15:00:00,SHORT,20.35,19.943,208.08
2024-01-03 19:00:00,SHORT,19.92,20.119200000000003,-106.12080000000061
2024-01-03 21:00:00,SHORT,20.18,19.7764,210.11918400000044
2024-01-04 02:00:00,SHORT,20.19,20.391900000000003,-107.16078384000105
2024-01-05 01:00:00,SHORT,19.96,20.1596,-106.08917600160011
2024-01-05 08:00:00,SHORT,20.08,19.678399999999996,210.05656848316906
2024-01-05 15:00:00,SHORT,19.72,19.325599999999998,214.2576998528319
2024-01-05 18:00:00,SHORT,19.76,19.957600000000003,-109.27142692494472
2024-01-06 05:00:00,SHORT,19.72,19.325599999999998,216.35742531138962
2024-01-06 10:00:00,SHORT,19.73,19.9273,-110.34228690880758
2024-01-07 09:00:00,SHORT,19.69,19.8869,-109.23886403972001
2024-01-07 15:00:00,SHORT,19.66,19.2668,216.29295079864642
2024-01-07 23:00:00,SHORT,19.27,18.8846,220.61880981461957
2024-01-08 03:00:00,SHORT,18.82,19.008200000000002,-112.51559300545696
2024-01-08 05:00:00,SHORT,19.1,19.291,-111.3904370754006
2024-01-08 08:00:00,SHORT,19.17,19.361700000000003,-110.27653270464774
2024-01-09 00:00:00,LONG,20.11,19.9089,-109.17376737760091
2024-01-09 16:00:00,LONG,20.18,19.9782,-108.08202970382402
2024-01-09 22:00:00,LONG,20.63,21.0426,214.00241881357366
2024-01-10 00:00:00,LONG,21.77,21.5523,-109.1412335949226
2024-01-10 02:00:00,LONG,20.79,21.2058,216.0996425179465
2024-01-10 05:00:00,LONG,21.1,20.889000000000003,-110.21081768415172
2024-01-10 07:00:00,LONG,20.89,20.6811,-109.1087095073109
2024-01-10 09:00:00,LONG,21.49,21.2751,-108.01762241223793
2024-01-10 11:00:00,LONG,21.29,21.077099999999998,-106.93744618811608
2024-01-10 15:00:00,LONG,21.49,21.2751,-105.86807172623438
2024-01-10 17:00:00,LONG,21.35,21.777,209.61878201794374
2024-01-10 20:00:00,LONG,22.05,22.491,213.81115765830233
2024-01-10 22:00:00,LONG,24.75,25.245,218.08738081146933
2024-01-11 00:00:00,LONG,26.51,26.2449,-111.22456421384928
2024-01-11 02:00:00,LONG,27.96,27.680400000000002,-110.11231857171006
2024-01-11 04:00:00,LONG,28.41,28.1259,-109.01119538599303
2024-01-11 06:00:00,LONG,27.42,27.968400000000003,215.84216686426763
2024-01-11 08:00:00,LONG,28.36,28.0764,-110.07950510077625
2024-01-11 10:00:00,LONG,29.65,30.243,217.9574200995371
2024-01-11 12:00:00,LONG,31.17,30.8583,-111.15828425076458
2024-01-11 14:00:00,LONG,30.37,30.066300000000002,-110.04670140825597
2024-01-11 16:00:00,LONG,30.05,29.7495,-108.94623439417354
2024-01-11 18:00:00,LONG,28.84,28.5516,-107.85677205023174
2024-01-11 20:00:00,LONG,28.67,29.2434,213.5564086594591
2024-01-11 22:00:00,LONG,29.56,29.2644,-108.91376841632437
2024-01-12 01:00:00,LONG,29.49,30.0798,215.6492614643221
2024-01-12 03:00:00,LONG,29.9,29.601,-109.98112334680404
2024-01-12 05:00:00,LONG,29.57,29.2743,-108.88131211333621
2024-01-12 08:00:00,LONG,29.31,29.0169,-107.79249899220248
2024-01-12 10:00:00,LONG,30.45,30.1455,-106.71457400228111
2024-01-12 12:00:00,LONG,30.7,31.314,211.29485652451626
2024-01-12 14:00:00,LONG,31.45,31.1355,-107.76037682750278
2024-01-13 07:00:00,LONG,29.83,29.531699999999997,-106.68277305922852
2024-01-13 14:00:00,SHORT,28.83,29.118299999999998,-105.61594532863568
2024-01-13 16:00:00,SHORT,28.83,28.2534,209.11957175069864
2024-01-14 01:00:00,SHORT,28.08,27.518399999999996,213.30196318571373
